word,frequency
afghan,57
afghanistan,215
afghans,35
africa,28
barack obama,154
ben nelson,31
california,62
canada,27
chicago,30
china,43
christian,36
connecticut,26
copenhagen,34
democratic party,40
dick cheney,31
george bush,26
george w. bush,78
goldman sachs,26
gop,34
harry reid,39
hillary clinton,32
huffington post,30
huffingtonpost,48
india,28
iran,48
iraq,140
joe lieberman,69
john mccain,39
lieberman,46
medicare,
medicare,38
middle east,30
new york,70
new york times,72
nobel peace prize,28
oslo,25
pakistan,69
pentagon,33
republican party,45
ronald reagan,27
russia,31
sarah palin,50
supreme court,27
tea party,25
texas,37
vietnam,40
virginia,27
wall street,91
wall street journal,25
washington post,44
west point,34
