word,frequency
afghanistan,36
al gore,23
baghdad,50
barack obama,41
bill clinton,23
bush administration,33
california,29
capitol hill,25
china,22
christian,28
chuck hagel,21
condoleezza rice,24
democratic party,31
dick cheney,33
fox news,23
george bush,40
george w. bush,49
hillary clinton,47
hollywood,19
huffingtonpost,68
india,19
iran,69
iraq,303
israel,27
jim webb,20
joe lieberman,19
john edwards,24
john kerry,23
john mccain,21
kennedy,21
middle east,66
nancy pelosi,37
new orleans,22
new york,42
new york times,54
pelosi,21
pentagon,21
president bush,25
saddam,21
saddam hussein,37
supreme court,20
syria,27
ted kennedy,27
texas,30
union,27
vietnam,47
virginia,24
war,20
washington post,37
webb,20
