word,frequency
afghanistan,129
alaska,52
arizona,49
barack obama,135
bill clinton,53
california,191
chicago,51
china,69
christian,53
christine o'donnell,91
colorado,43
d.c.,49
delaware,50
democratic party,75
europe,41
florida,64
fox news,66
george w. bush,89
glenn beck,69
gop,133
harry reid,48
iran,40
iraq,124
israel,48
jerry brown,43
joe miller,46
john boehner,49
john mccain,40
karl rove,47
meg whitman,54
muslim,41
nevada,56
new york,111
new york times,93
ohio,63
pakistan,49
pennsylvania,42
rand paul,52
reagan,39
republican party,95
sarah palin,99
sharron angle,67
social security,85
supreme court,92
tea party,212
texas,65
wall street,141
washington post,47
whitman,40
world war ii,39
