word,frequency
afghanistan,52
african americans,32
alabama,32
arizona,35
barack obama,74
british,29
california,101
canada,29
chicago,30
china,57
christian,37
d.c.,35
defense of marriage act,31
doma,41
edward snowden,75
egypt,50
europe,49
european,33
florida,73
george w. bush,34
george zimmerman,74
germany,31
gop,57
house of representatives,44
iran,41
iraq,52
japan,31
king,29
martin,45
martin luther king,38
middle east,36
moscow,31
new york,80
new york city,49
new york times,78
north carolina,44
nsa,58
ohio,36
pennsylvania,31
republican party,47
russia,53
supreme court,126
tea party,31
texas,104
trayvon martin,87
virginia,34
voting rights act,48
wall street,66
wisconsin,32
zimmerman,58
