word,frequency
afghanistan,80
bachmann,39
barack obama,98
bill clinton,31
britain,27
california,46
canada,28
chicago,30
china,55
christian,41
d.c.,31
democratic party,33
europe,53
european,32
florida,36
fox news,27
george w. bush,79
germany,26
gop,76
great depression,36
house of representatives,25
iowa,50
iraq,90
israel,29
japan,34
king,25
libya,31
martin luther king,31
medicare,50
michele bachmann,58
mitt romney,35
new hampshire,26
new york,71
new york city,27
new york times,81
pentagon,26
perry,74
reagan,40
republican party,52
rick perry,89
ron paul,25
ronald reagan,57
social security,65
supreme court,42
tea party,125
texas,98
virginia,26
wall street,83
wisconsin,37
world war ii,30
