word,frequency
afghanistan,72
arizona,32
barack obama,80
british,24
california,36
capitol hill,30
china,59
d.c.,22
donald trump,51
egypt,36
europe,30
european,21
florida,30
george w. bush,30
gop,75
great depression,21
hillary clinton,21
house of representatives,25
huffingtonpost,33
huffingtonpost,31
iran,24
iraq,79
japan,30
john boehner,34
libya,77
libyan,27
medicaid,26
medicare,74
michele bachmann,22
middle east,47
new york,43
new york times,48
newt gingrich,26
ohio,27
paul ryan,70
pentagon,28
planned parenthood,21
reagan,28
republican party,48
ronald reagan,26
sarah palin,26
scott walker,22
supreme court,45
tea party,66
texas,26
trump,42
vietnam,23
wall street,56
wall street journal,21
wisconsin,52
