word,frequency
afghanistan,84
arab spring,33
barack obama,101
bill clinton,37
british,32
cain,60
california,73
canada,41
chicago,45
china,80
christian,42
d.c.,45
democratic party,38
europe,55
federal reserve,35
florida,41
fox news,33
george w. bush,60
gop,108
herman cain,102
iran,43
iraq,112
israel,43
libya,39
manhattan,35
martin luther king,42
massachusetts,39
mexico,39
michele bachmann,41
middle east,41
mitt romney,108
new york,141
new york city,59
new york times,79
newt gingrich,33
occupy,72
occupy wall street,213
ohio,38
ows,37
pakistan,32
perry,71
republican party,54
rick perry,113
ron paul,40
ronald reagan,38
supreme court,63
tea party,147
texas,95
wall street,266
zuccotti park,66
