word,frequency
afghanistan,67
al gore,34
barack obama,90
bill clinton,34
bush administration,39
california,40
china,45
chris dodd,23
christian,27
cnn,29
democratic party,41
dennis kucinich,41
dick cheney,30
france,24
fred thompson,30
george bush,57
george w. bush,67
giuliani,56
gop,32
hillary clinton,110
huffington post,56
illinois,23
india,25
iowa,92
iran,107
iranian,28
iraq,234
islamic,32
israel,45
john edwards,59
john mccain,35
justice department,23
karl rove,30
kucinich,27
middle east,57
mike huckabee,26
mitt romney,33
musharraf,31
new hampshire,49
new york,75
new york times,51
pakistan,64
pakistani,29
ron paul,28
rudy,28
rudy giuliani,57
supreme court,47
texas,28
tim russert,26
vietnam,24
