word,frequency
afghanistan,29
arab,20
assad,15
barack obama,35
bill maher,15
british,22
california,30
china,30
christian,16
christians,18
colorado,16
d.c.,15
ebola,19
egypt,23
europe,32
european,22
florida,17
fox news,15
france,19
george w. bush,16
germany,21
gop,27
india,16
iran,30
iraq,81
isis,65
islam,28
islamic,25
islamic state,25
israel,26
jewish,15
michigan,15
middle east,50
muslim,28
new york,44
new york city,18
new york times,27
north carolina,15
pakistan,22
republican party,15
russia,17
saudi arabia,20
supreme court,32
syria,58
texas,34
turkey,18
wall street,22
washington post,20
west africa,15
western,21
