word,frequency
afghanistan,96
arizona,148
barack obama,105
bill clinton,48
california,59
chicago,37
china,85
d.c.,32
democratic party,33
don,31
europe,34
fox news,34
gabrielle giffords,94
george w. bush,56
giffords,62
glenn beck,43
gop,66
house of representatives,44
huffingtonpost,44
huffingtonpost,33
india,41
iran,31
iraq,98
israel,30
jared lee loughner,34
jared loughner,40
john boehner,37
king,53
loughner,43
martin luther king,67
medicare,31
middle east,37
new york,66
new york city,38
new york times,77
pakistan,37
reagan,37
republican party,47
ronald reagan,42
sarah palin,111
social security,49
soviet union,29
supreme court,64
tea party,120
texas,32
tucson,172
union,60
vietnam,34
wall street,89
washington post,39
