word,frequency
afghanistan,83
barack obama,101
bill clinton,39
british,33
cain,72
california,69
chicago,35
china,87
christian,41
d.c.,49
europe,69
european,33
florida,39
george w. bush,37
gop,101
herman cain,91
iowa,46
iran,68
iraq,117
israel,54
massachusetts,34
michele bachmann,41
middle east,50
mississippi,38
mitt romney,92
new york,103
new york city,48
new york times,67
newt gingrich,65
oakland,41
occupy,84
occupy wall street,147
ohio,48
ows,34
pentagon,37
perry,57
reagan,34
republican party,46
rick perry,74
ron paul,38
ronald reagan,33
super committee,32
supreme court,52
tea party,94
texas,70
wall street,166
washington post,39
wisconsin,35
world war ii,37
zuccotti park,59
