word,frequency
afghanistan,146
alaska,188
arizona,73
ayers,62
barack obama,630
biden,107
bill ayers,82
bill clinton,63
california,110
chicago,87
china,62
christian,99
cnn,60
colin powell,76
colorado,80
democratic party,62
election day,69
florida,159
fox news,64
george bush,114
george w. bush,165
georgia,60
gop,144
hillary clinton,77
iran,104
iraq,354
israel,83
joe,86
joe biden,152
john mccain,657
katie couric,67
middle east,75
new york,115
new york times,126
north carolina,70
ohio,158
pakistan,72
pennsylvania,86
reagan,65
republican party,134
ronald reagan,80
russia,100
sarah,71
sarah palin,526
senator obama,90
supreme court,102
texas,65
virginia,94
wall street,167
washington post,78
