word,frequency
afghanistan,82
barack obama,79
bill clinton,33
california,95
canada,35
capitol hill,32
china,55
christian,46
d.c.,48
defense of marriage act,37
doma,33
europe,45
european,33
florida,54
george w. bush,66
gop,94
huffingtonpost,30
iran,79
iraq,133
israel,56
israeli,34
jesus,30
jewish,44
john mccain,35
lgbt,29
medicare,55
middle east,52
mitt romney,44
new york,62
new york city,32
ohio,29
paul,33
paul ryan,35
pentagon,30
proposition,36
rand paul,42
republican party,67
russia,29
saddam hussein,32
social security,57
state department,31
supreme court,122
syria,35
tea party,46
texas,55
vietnam,42
voting rights act,32
wall street,72
washington post,49
world war ii,33
