word,frequency
affordable care act,61
afghanistan,128
arizona,54
barack obama,312
benghazi,57
bill clinton,88
california,109
china,95
chris christie,68
christian,79
colorado,70
democratic party,58
election day,82
elizabeth warren,50
europe,54
florida,159
fox news,66
george w. bush,124
gop,170
house of representatives,57
hurricane sandy,80
iowa,49
iran,74
iraq,128
israel,68
karl rove,64
latino,55
maine,61
maryland,62
massachusetts,111
middle east,57
minnesota,70
mitt romney,369
new jersey,95
new york,130
new york city,58
new york times,95
ohio,177
paul ryan,98
pennsylvania,78
petraeus,48
republican party,151
ronald reagan,48
supreme court,137
tea party,103
texas,79
virginia,95
wall street,119
washington post,60
wisconsin,70
